"","x"
"1","Acetate"
"var","rel.inf"
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",3.12116429580066
"Lowland_Water","Lowland_Water",3.03127572627125
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",2.53297545117849
"SP_1000_MEAN","SP_1000_MEAN",1.42461958780012
"NDVI2012_MEAN","NDVI2012_MEAN",1.25203343209084
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0.342208473708628
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","S"
"var","rel.inf"
"Season","Season",68.0652617722771
"area_km2","area_km2",5.80488175470664
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",3.59302494236714
"Lowland_Water","Lowland_Water",3.36494285959741
"SL_60_MEAN","SL_60_MEAN",3.33748662015718
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",2.67959631224344
"NDVI2012_MEAN","NDVI2012_MEAN",2.42949345499879
"SP_1000_MEAN","SP_1000_MEAN",2.42866916699992
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",2.38354141756598
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",1.82689384768237
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",1.80247284865783
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",1.52201742331717
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",0.761717579429037
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","DOC"
"var","rel.inf"
"area_km2","area_km2",22.5510628392651
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",20.0884098609166
"SL_60_MEAN","SL_60_MEAN",16.6125690505153
"SP_1000_MEAN","SP_1000_MEAN",8.86037536407982
"Season","Season",8.28779050301771
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",6.75252334526361
"NDVI2012_MEAN","NDVI2012_MEAN",5.26978379664365
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",3.34720511206107
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",3.1537173267454
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",2.07047198822526
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",2.00719932723731
"Lowland_Water","Lowland_Water",0.679001287508992
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",0.319890198520128
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","Al"
"var","rel.inf"
"Season","Season",67.4029531183093
"area_km2","area_km2",6.38464788500233
"Lowland_Water","Lowland_Water",3.96778058151783
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",3.67932989574104
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",3.24428546725548
"SL_60_MEAN","SL_60_MEAN",2.72632571063795
"NDVI2012_MEAN","NDVI2012_MEAN",2.32942695937873
"SP_1000_MEAN","SP_1000_MEAN",2.10936098144235
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",1.95461356361539
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",1.88776140914643
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",1.69205459401775
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",1.46915344641019
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",1.15230638752527
